"id","lfhotelid","agenthotelid","caption_en","caption_zh","picurl","picsize","source","picture_id","updatetime","pic_path","pic_filesize"
"3060176","55","78234","City view","城市景观","https://i.travelapi.com/lodging/1000000/80000/78300/78234/822cacce_z.jpg","1000px","0","92007","25/6/2023 17:26:59","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060176.jpg","131.452"
"3060177","55","78234","City view","城市景观","https://i.travelapi.com/lodging/1000000/80000/78300/78234/822cacce_t.jpg","70px","0","92007","25/6/2023 17:26:59",,
"3060178","55","78234","Point of interest","兴趣点","https://i.travelapi.com/lodging/1000000/80000/78300/78234/b6d1f4e6_b.jpg","350px","0","100000","25/6/2023 17:26:59",,
"3060179","55","78234","Point of interest","兴趣点","https://i.travelapi.com/lodging/1000000/80000/78300/78234/b6d1f4e6_z.jpg","1000px","0","100000","25/6/2023 17:26:59","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060179.jpg","70.9854"
"3060180","55","78234","Point of interest","兴趣点","https://i.travelapi.com/lodging/1000000/80000/78300/78234/b6d1f4e6_t.jpg","70px","0","100000","25/6/2023 17:26:59",,
"422428","56","200",,,"https://pix8.agoda.net/hotelImages/4864575/0/932f70339b110b094eac121e6314ea75.jpg?ca=23&ce=0&s=312x","312x","1","106132895","25/6/2022 17:22:08",,
"422429","56","200",,,"https://pix8.agoda.net/hotelImages/4864575/0/344f186719c4c9ce5f3932c7ad6c7871.jpg?s=312x","312x","1","75853646","25/6/2022 17:22:08",,
"422430","56","200","Swimming pool","游泳池","https://q-xx.bstatic.com/xdata/images/hotel/max500/75054185.jpg?k=2ace66d2ce0c7e52165c998c3b5bcf60f19bd9be3b848b65802351da15996f99&o=&s=312x","312x","1","61753034","25/6/2022 17:22:08",,
"422431","56","200","Lobby","大厅","https://pix8.agoda.net/hotelImages/2290769/0/eded49a44a27e742704a0a9acf16fe8b.jpg?ca=10&ce=1&s=312x","312x","1","88833164","25/6/2022 17:22:08",,
"422432","56","200","Lobby","大厅","https://pix8.agoda.net/hotelImages/2290769/0/c18321246a8e6b9a176aa80fbb8994e3.jpg?ca=10&ce=1&s=312x","312x","1","88833165","25/6/2022 17:22:08",,
"427885","59","205","Swimming pool","游泳池","https://pix8.agoda.net/hotelImages/205/205/205_16051814570042446831.jpg?ca=6&ce=1&s=312x","312x","1","42446831","25/6/2022 18:10:33",,
"427886","59","205",,,"https://q-xx.bstatic.com/xdata/images/hotel/max500/360021745.jpg?k=a7b9f944d1f69f7d433bd33e00e4182ee712e89af4755aeecbfbd0f26f396599&o=&s=312x","312x","1","72787033","25/6/2022 18:10:33",,
"427887","59","205","Lobby","大厅","https://q-xx.bstatic.com/xdata/images/hotel/max500/359983876.jpg?k=7bbed7f2e5ef13730b10146045be75c86fb1ee83ea1e51d844c76f86970bebcb&o=&s=312x","312x","1","328713355","25/6/2022 18:10:33",,
"427888","59","205","Lobby","大厅","https://pix8.agoda.net/hotelImages/6496662/0/4a2ac1e50c271e6aa4a4691562b83995.jpg?ca=9&ce=1&s=312x","312x","1","80898744","25/6/2022 18:10:33",,
"427889","59","205","Interior view","酒店内饰","https://pix8.agoda.net/hotelImages/205/205/205_16050621590042122496.jpg?ca=6&ce=1&s=312x","312x","1","42122496","25/6/2022 18:10:33",,
"2998865","59","752532","Hotel Exterior","外观","http://dimg04.c-ctrip.com/images//220i0g0000007z0xoCEBE_R_550_412.jpg",,"2",,"5/8/2022 16:00:07",,
"2998866","59","752532","Hotel Exterior","外观","http://dimg04.c-ctrip.com/images//220p1e000001ft0m4F6B6_R_550_412.jpg",,"2",,"5/8/2022 16:00:07",,
"2998867","59","752532","Hotel Exterior","外观","http://dimg04.c-ctrip.com/images//220p0g0000007z2ax7737_R_550_412.jpg",,"2",,"5/8/2022 16:00:07",,
"2998868","59","752532","Hotel Exterior","外观","http://dimg04.c-ctrip.com/images//220s1a0000019m2va873D_R_550_412.jpg",,"2",,"5/8/2022 16:00:07",,
"2998869","59","752532","Hotel Exterior","Logo","http://dimg04.c-ctrip.com/images//22081a0000019fe9iB0F7_R_550_412.jpg",,"2",,"5/8/2022 16:06:47",,
"2998870","59","752532","Hotel Exterior","外观","http://dimg04.c-ctrip.com/images//22020g0000007z1uk8C43_R_550_412.jpg",,"2",,"5/8/2022 16:00:07",,
"2998871","59","752532","Hotel Exterior","外观","http://dimg04.c-ctrip.com/images//220h10000000p982f302D_R_550_412.jpg",,"2",,"5/8/2022 16:00:07",,
"2998872","59","752532","Hotel Exterior","外观","http://dimg04.c-ctrip.com/images//220l0g0000007ze777FF1_R_550_412.jpg",,"2",,"5/8/2022 16:00:07",,
"2998873","59","752532","Hotel Interior/Public Areas","公共区域","http://dimg04.c-ctrip.com/images//0226k1200095hvco3AE3F_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998874","59","752532","Hotel Interior/Public Areas","公共区域","http://dimg04.c-ctrip.com/images//0224s1200095hvbkv9129_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998875","59","752532","Hotel Interior/Public Areas","公共区域","http://dimg04.c-ctrip.com/images//022371200095hv1so801A_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998876","59","752532","Hotel Interior/Public Areas","公共区域","http://dimg04.c-ctrip.com/images//220914000000w6ml3AAAC_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998877","59","752532","Hotel Interior/Public Areas","公共区域","http://dimg04.c-ctrip.com/images//0225h1200095hv5cn47CB_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998878","59","752532","Hotel Interior/Public Areas","公共区域","http://dimg04.c-ctrip.com/images//22060g0000007z18dA197_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998879","59","752532","Hotel Interior/Public Areas","公共区域","http://dimg04.c-ctrip.com/images//220n0g0000007z1knF8A4_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998880","59","752532","Hotel Interior/Public Areas","Hotel Interior/Public Areas","http://dimg04.c-ctrip.com/images//0224s120009ihk8eyEE7B_R_550_412.jpg",,"2",,"14/7/2022 19:18:03",,
"2998881","59","752532","Hotel Interior/Public Areas","公共区域","http://dimg04.c-ctrip.com/images//220i1e000001fspaxE53D_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998882","59","752532","Hotel Interior/Public Areas","公共区域","http://dimg04.c-ctrip.com/images//22071e000001gakdyD886_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998883","59","752532","Others","Others","http://dimg04.c-ctrip.com/images//22030g0000007rubgE3A2_R_550_412.jpg",,"2",,"14/7/2022 19:18:03",,
"2998884","59","752532","Others","其他","http://dimg04.c-ctrip.com/images//022301200095hvcnzC113_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998885","59","752532","Others","Others","http://dimg04.c-ctrip.com/images//0225d120009ihk5zq1286_R_550_412.jpg",,"2",,"14/7/2022 19:18:03",,
"2998886","59","752532","Others","其他","http://dimg04.c-ctrip.com/images//220o0g0000007z1v6A12A_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
